id,category
1,5
2,14
3,3
4,1
5,13
6,0
7,10
8,0
9,0
10,0
11,17
12,11
13,15
14,4
15,3
16,3
17,1
18,9
19,7
20,17
21,12
22,0
23,5
24,12
25,4
26,6
27,11
28,1
29,4
30,7
31,7
32,0
33,11
34,6
35,4
36,0
37,7
38,12
39,17
40,4
41,16
42,5
43,17
44,10
45,16
46,7
47,13
48,10
49,3
50,3
51,7
52,11
53,0
54,2
55,6
56,10
57,8
58,8
59,2
60,4
61,13
62,0
63,9
64,17
65,13
66,10
67,3
68,14
69,13
70,11
71,5
72,3
73,0
74,14
75,3
76,0
77,0
78,4
79,9
80,6
81,9
82,3
83,7
84,14
85,11
86,4
87,11
88,11
89,10
90,12
91,5
92,10
93,6
94,1
95,11
96,8
97,15
98,11
99,0
100,11
101,1
102,4
103,2
104,0
105,13
106,5
107,3
108,9
109,0
110,13
111,5
112,6
113,1
114,12
115,12
116,0
117,10
118,14
119,0
120,10
121,2
122,11
123,5
124,9
125,13
126,0
127,5
128,0
129,15
130,3
131,6
132,6
133,11
134,3
135,10
136,1
137,0
138,0
139,11
140,1
141,3
142,10
143,2
144,8
145,9
146,6
147,9
148,17
149,6
150,0
151,16
152,10
153,7
154,12
155,10
156,11
157,4
158,0
159,7
160,6
161,7
162,6
163,2
164,6
165,8
166,9
167,16
168,14
169,6
170,1
171,9
172,5
173,7
174,14
175,8
176,16
177,10
178,1
179,6
180,0
181,13
182,0
183,0
184,6
185,7
186,6
187,0
188,3
189,10
190,0
191,2
192,5
193,12
194,10
195,11
196,11
197,5
198,8
199,1
200,7
201,7
202,7
203,7
204,2
205,11
206,6
207,11
208,6
209,10
210,7
211,10
212,14
213,0
214,16
215,0
216,1
217,0
218,4
219,2
220,8
221,17
222,11
223,9
224,3
225,2
226,14
227,17
228,7
229,3
230,7
231,3
232,15
233,10
234,7
235,0
236,0
237,7
238,5
239,0
240,2
241,0
242,10
243,1
244,6
245,8
246,5
247,4
248,17
249,8
250,4
251,2
252,8
253,17
254,3
255,10
256,12
257,2
258,6
259,16
260,4
261,4
262,10
263,7
264,10
265,3
266,6
267,11
268,13
269,15
270,5
271,12
272,7
273,1
274,0
275,3
276,11
277,0
278,5
279,7
280,4
281,4
282,0
283,0
284,13
285,10
286,17
287,10
288,14
289,5
290,12
291,7
292,17
293,1
294,7
295,9
296,9
297,4
298,13
299,5
300,6
301,10
302,5
303,7
304,14
305,4
306,6
307,0
308,8
309,10
310,6
311,6
312,9
313,11
314,7
315,8
316,5
317,4
318,6
319,7
320,1
321,4
322,13
323,14
324,10
325,14
326,10
327,9
328,0
329,15
330,5
331,0
332,14
333,9
334,2
335,7
336,5
337,14
338,7
339,4
340,1
341,2
342,9
343,13
344,10
345,2
346,4
347,10
348,11
349,15
350,6
351,0
352,3
353,7
354,17
355,12
356,9
357,1
358,4
359,7
360,11
361,15
362,0
363,0
364,15
365,10
366,11
367,0
368,0
369,7
370,4
371,11
372,7
373,6
374,13
375,6
376,1
377,10
378,13
379,15
380,7
381,0
382,2
383,2
384,5
385,11
386,6
387,14
388,0
389,10
390,16
391,8
392,17
393,17
394,14
395,12
396,11
397,11
398,9
399,14
400,6
401,1
402,17
403,10
404,16
405,2
406,10
407,2
408,10
409,1
410,0
411,3
412,3
413,3
414,14
415,11
416,1
417,14
418,10
419,1
420,8
421,12
422,7
423,10
424,1
425,7
426,7
427,11
428,6
429,14
430,1
431,3
432,10
433,10
434,10
435,0
436,4
437,2
438,5
439,3
440,1
441,0
442,1
443,2
444,15
445,5
446,11
447,2
448,0
449,7
450,7
451,7
452,6
453,7
454,9
455,5
456,5
457,7
458,2
459,6
460,4
461,0
462,0
463,14
464,11
465,2
466,4
467,10
468,5
469,9
470,11
471,17
472,12
473,13
474,15
475,2
476,11
477,7
478,12
479,10
480,0
481,1
482,7
483,11
484,12
485,13
486,10
487,9
488,0
489,7
490,9
491,1
492,12
493,0
494,13
495,1
496,1
497,4
498,3
499,0
500,0
501,14
502,10
503,0
504,5
505,0
506,11
507,14
508,1
509,5
510,3
511,4
512,8
513,7
514,4
515,0
516,1
517,10
518,4
519,0
520,14
521,11
522,5
523,12
524,9
525,5
526,2
527,11
528,3
529,10
530,2
531,1
532,7
533,5
534,5
535,8
536,3
537,4
538,11
539,0
540,11
541,7
542,7
543,11
544,10
545,1
546,8
547,6
548,11
549,10
550,8
551,11
552,9
553,10
554,2
555,10
556,12
557,4
558,4
559,10
560,7
561,17
562,0
563,10
564,1
565,0
566,7
567,1
568,5
569,10
570,1
571,12
572,17
573,7
574,5
575,4
576,0
577,13
578,2
579,0
580,11
581,6
582,10
583,6
584,12
585,6
586,15
587,5
588,11
589,5
590,11
591,10
592,15
593,4
594,15
595,16
596,3
597,1
598,10
599,12
600,11
601,7
602,17
603,2
604,11
605,17
606,15
607,1
608,3
609,16
610,0
611,8
612,4
613,16
614,5
615,11
616,4
617,10
618,2
619,10
620,11
621,12
622,7
623,11
624,10
625,13
626,3
627,9
628,5
629,0
630,0
631,6
632,0
633,10
634,11
635,13
636,14
637,4
638,9
639,9
640,1
641,3
642,8
643,1
644,12
645,17
646,5
647,11
648,10
649,11
650,1
651,14
652,14
653,5
654,10
655,6
656,13
657,4
658,7
659,7
660,9
661,5
662,17
663,17
664,9
665,7
666,12
667,4
668,0
669,7
670,7
671,6
672,12
673,0
674,14
675,0
676,6
677,0
678,14
679,0
680,2
681,9
682,4
683,14
684,2
685,11
686,9
687,5
688,2
689,14
690,17
691,14
692,1
693,14
694,3
695,0
696,1
697,5
698,4
699,0
700,0
701,4
702,12
703,6
704,4
705,2
706,8
707,12
708,10
709,5
710,11
711,14
712,6
713,6
714,12
715,6
716,10
717,11
718,11
719,11
720,9
721,17
722,6
723,10
724,11
725,6
726,0
727,11
728,0
729,7
730,15
731,5
732,9
733,10
734,4
735,6
736,17
737,0
738,12
739,14
740,3
741,6
742,16
743,1
744,0
745,11
746,13
747,11
748,11
749,0
750,0
751,14
752,2
753,10
754,1
755,12
756,0
757,7
758,10
759,3
760,6
761,0
762,5
763,0
764,0
765,4
766,0
767,1
768,10
769,7
770,10
771,10
772,0
773,4
774,11
775,7
776,17
777,10
778,0
779,0
780,11
781,11
782,0
783,3
784,12
785,10
786,15
787,3
788,7
789,11
790,15
791,11
792,4
793,0
794,11
795,12
796,6
797,10
798,14
799,6
800,9
801,10
802,4
803,1
804,14
805,10
806,0
807,10
808,2
809,10
810,11
811,3
812,5
813,10
814,2
815,10
816,2
817,11
818,11
819,14
820,14
821,17
822,17
823,7
824,1
825,4
826,6
827,9
828,5
829,13
830,3
831,9
832,13
833,17
834,14
835,8
836,11
837,14
838,12
839,11
840,11
841,5
842,17
843,11
844,10
845,8
846,11
847,5
848,2
849,10
850,1
851,0
852,4
853,0
854,11
855,0
856,14
857,5
858,7
859,0
860,1
861,12
862,10
863,3
864,11
865,7
866,14
867,5
868,13
869,5
870,7
871,1
872,5
873,0
874,6
875,0
876,10
877,7
878,7
879,10
880,10
881,1
882,7
883,14
884,3
885,15
886,15
887,15
888,0
889,6
890,10
891,7
892,12
893,10
894,13
895,16
896,15
897,7
898,10
899,9
900,1
901,11
902,10
903,4
904,12
905,6
906,7
907,12
908,0
909,8
910,14
911,0
912,0
913,1
914,4
915,0
916,9
917,0
918,6
919,7
920,3
921,8
922,3
923,3
924,4
925,11
926,16
927,13
928,10
929,10
930,17
931,7
932,15
933,6
934,2
935,14
936,11
937,0
938,10
939,14
940,4
941,1
942,5
943,5
944,0
945,11
946,11
947,10
948,14
949,1
950,10
951,10
952,5
953,11
954,12
955,2
956,10
957,15
958,8
959,10
960,3
961,6
962,0
963,7
964,15
965,12
966,10
967,14
968,3
969,4
970,7
971,0
972,9
973,0
974,0
975,0
976,14
977,5
978,5
979,7
980,0
981,5
982,0
983,10
984,6
985,0
986,7
987,8
988,8
989,0
990,10
991,13
992,7
993,6
994,5
995,12
996,0
997,10
998,7
999,9
1000,0
1001,3
1002,7
1003,5
1004,9
1005,10
1006,1
1007,10
1008,12
1009,3
1010,14
1011,14
1012,13
1013,11
1014,0
1015,7
1016,1
1017,0
1018,4
1019,2
1020,1
1021,15
1022,15
1023,7
1024,7
1025,7
1026,0
1027,7
1028,13
1029,5
1030,2
1031,14
1032,0
1033,12
1034,14
1035,5
1036,1
1037,0
1038,0
1039,0
1040,10
1041,14
1042,7
1043,3
1044,8
1045,11
1046,13
1047,16
1048,5
1049,11
1050,0
1051,2
1052,10
1053,2
1054,10
1055,3
1056,10
1057,0
1058,11
1059,0
1060,2
1061,7
1062,4
1063,10
1064,14
1065,1
1066,10
1067,0
1068,9
1069,7
1070,8
1071,7
1072,13
1073,10
1074,3
1075,10
1076,2
1077,0
1078,0
1079,0
1080,15
1081,10
1082,10
1083,10
1084,3
1085,3
1086,16
1087,11
1088,11
1089,5
1090,4
1091,14
1092,2
1093,0
1094,9
1095,10
1096,0
1097,5
1098,14
1099,13
1100,13
1101,1
1102,2
1103,14
1104,0
1105,10
1106,4
1107,7
1108,7
